SET,BigFive,Question Code,Question
28,Openness,OPN9,I spend time reflecting on things.
29,Agreeableness,AGR1,I feel little concern for others.
29,Agreeableness,AGR10,I make people feel at ease.
29,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
29,Agreeableness,AGR4,I sympathize with others' feelings.
29,Agreeableness,AGR9,I feel others' emotions.
29,Conscientiousness,CSN3,I pay attention to details.
29,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
29,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
29,Conscientiousness,CSN9,I follow a schedule.
29,Neuroticism,EST4,I seldom feel blue.
29,Neuroticism,EST6,I get upset easily.
29,Neuroticism,EST7,I change my mood a lot.
29,Neuroticism,EST9,I have a low tolerance for irritation.
29,Extraversion,EXT3,I feel comfortable around people.
29,Extraversion,EXT5,I start conversations.
29,Extraversion,EXT6,I have little to say.
29,Extraversion,EXT8,I don't like to draw attention to myself.
29,Openness,OPN1,I have a rich vocabulary.
29,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
29,Openness,OPN9,I spend time reflecting on things.
30,Agreeableness,AGR1,I feel little concern for others.
30,Agreeableness,AGR10,I make people feel at ease.
30,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
30,Agreeableness,AGR4,I sympathize with others' feelings.
30,Agreeableness,AGR9,I feel others' emotions.
30,Conscientiousness,CSN1,I am always prepared.
30,Conscientiousness,CSN10,I am exacting in my work.
30,Conscientiousness,CSN3,I pay attention to details.
30,Conscientiousness,CSN5,I get chores done right away.
30,Neuroticism,EST10,I often feel blue.
30,Neuroticism,EST3,I worry about things.
30,Neuroticism,EST7,I change my mood a lot.
30,Neuroticism,EST9,I have a low tolerance for irritation.
30,Extraversion,EXT1,I am the life of the party.
30,Extraversion,EXT3,I feel comfortable around people.
30,Extraversion,EXT8,I don't like to draw attention to myself.
30,Extraversion,EXT9,I don't mind being the center of attention.
30,Openness,OPN1,I have a rich vocabulary.
30,Openness,OPN5,I have excellent ideas.
30,Openness,OPN9,I spend time reflecting on things.
31,Agreeableness,AGR10,I make people feel at ease.
31,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
31,Agreeableness,AGR7,I am not really interested in others.
31,Agreeableness,AGR8,I take time out for others.
31,Agreeableness,AGR9,I feel others' emotions.
31,Conscientiousness,CSN1,I am always prepared.
31,Conscientiousness,CSN3,I pay attention to details.
31,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
31,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
31,Neuroticism,EST3,I worry about things.
31,Neuroticism,EST4,I seldom feel blue.
31,Neuroticism,EST8,I have frequent mood swings.
31,Neuroticism,EST9,I have a low tolerance for irritation.
31,Extraversion,EXT4,I keep in the background.
31,Extraversion,EXT6,I have little to say.
31,Extraversion,EXT8,I don't like to draw attention to myself.
31,Extraversion,EXT9,I don't mind being the center of attention.
31,Openness,OPN3,I have a vivid imagination.
31,Openness,OPN4,I am not interested in abstract ideas.
31,Openness,OPN9,I spend time reflecting on things.
32,Agreeableness,AGR10,I make people feel at ease.
32,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
32,Agreeableness,AGR6,I have a soft heart.
32,Agreeableness,AGR8,I take time out for others.
32,Conscientiousness,CSN3,I pay attention to details.
32,Conscientiousness,CSN5,I get chores done right away.
32,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
32,Conscientiousness,CSN9,I follow a schedule.
32,Neuroticism,EST1,I get stressed out easily.
32,Neuroticism,EST10,I often feel blue.
32,Neuroticism,EST5,I am easily disturbed.
32,Neuroticism,EST7,I change my mood a lot.
32,Extraversion,EXT4,I keep in the background.
32,Extraversion,EXT7,I talk to a lot of different people at parties.
32,Extraversion,EXT8,I don't like to draw attention to myself.
32,Extraversion,EXT9,I don't mind being the center of attention.
32,Openness,OPN4,I am not interested in abstract ideas.
32,Openness,OPN5,I have excellent ideas.
32,Openness,OPN7,I am quick to understand things.
32,Openness,OPN9,I spend time reflecting on things.
33,Agreeableness,AGR1,I feel little concern for others.
33,Agreeableness,AGR10,I make people feel at ease.
33,Agreeableness,AGR2,I am interested in people.
33,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
33,Agreeableness,AGR9,I feel others' emotions.
33,Conscientiousness,CSN1,I am always prepared.
33,Conscientiousness,CSN3,I pay attention to details.
33,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
33,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
33,Neuroticism,EST3,I worry about things.
33,Neuroticism,EST4,I seldom feel blue.
33,Neuroticism,EST5,I am easily disturbed.
33,Neuroticism,EST8,I have frequent mood swings.
33,Extraversion,EXT2,I prefer to listen more than I speak.
33,Extraversion,EXT3,I feel comfortable around people.
33,Extraversion,EXT5,I start conversations.
33,Extraversion,EXT8,I don't like to draw attention to myself.
33,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
33,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
33,Openness,OPN9,I spend time reflecting on things.
34,Agreeableness,AGR10,I make people feel at ease.
34,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
34,Agreeableness,AGR4,I sympathize with others' feelings.
34,Agreeableness,AGR8,I take time out for others.
34,Agreeableness,AGR9,I feel others' emotions.
34,Conscientiousness,CSN1,I am always prepared.
34,Conscientiousness,CSN10,I am exacting in my work.
34,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
34,Conscientiousness,CSN3,I pay attention to details.
34,Neuroticism,EST3,I worry about things.
34,Neuroticism,EST4,I seldom feel blue.
34,Neuroticism,EST7,I change my mood a lot.
34,Neuroticism,EST9,I have a low tolerance for irritation.
34,Extraversion,EXT1,I am the life of the party.
34,Extraversion,EXT4,I keep in the background.
34,Extraversion,EXT8,I don't like to draw attention to myself.
34,Extraversion,EXT9,I don't mind being the center of attention.
34,Openness,OPN4,I am not interested in abstract ideas.
34,Openness,OPN5,I have excellent ideas.
34,Openness,OPN9,I spend time reflecting on things.
35,Agreeableness,AGR10,I make people feel at ease.
35,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
35,Agreeableness,AGR4,I sympathize with others' feelings.
35,Agreeableness,AGR8,I take time out for others.
35,Agreeableness,AGR9,I feel others' emotions.
35,Conscientiousness,CSN10,I am exacting in my work.
35,Conscientiousness,CSN3,I pay attention to details.
35,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
35,Conscientiousness,CSN9,I follow a schedule.
35,Neuroticism,EST1,I get stressed out easily.
35,Neuroticism,EST10,I often feel blue.
35,Neuroticism,EST7,I change my mood a lot.
35,Neuroticism,EST9,I have a low tolerance for irritation.
35,Extraversion,EXT4,I keep in the background.
35,Extraversion,EXT6,I have little to say.
35,Extraversion,EXT8,I don't like to draw attention to myself.
35,Extraversion,EXT9,I don't mind being the center of attention.
35,Openness,OPN2,I have difficulty understanding abstract ideas.
35,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
35,Openness,OPN9,I spend time reflecting on things.
36,Agreeableness,AGR1,I feel little concern for others.
36,Agreeableness,AGR10,I make people feel at ease.
36,Agreeableness,AGR2,I am interested in people.
36,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
36,Agreeableness,AGR9,I feel others' emotions.
36,Conscientiousness,CSN3,I pay attention to details.
36,Conscientiousness,CSN5,I get chores done right away.
36,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
36,Conscientiousness,CSN9,I follow a schedule.
36,Neuroticism,EST4,I seldom feel blue.
36,Neuroticism,EST6,I get upset easily.
36,Neuroticism,EST8,I have frequent mood swings.
36,Neuroticism,EST9,I have a low tolerance for irritation.
36,Extraversion,EXT4,I keep in the background.
36,Extraversion,EXT7,I talk to a lot of different people at parties.
36,Extraversion,EXT8,I don't like to draw attention to myself.
36,Extraversion,EXT9,I don't mind being the center of attention.
36,Openness,OPN2,I have difficulty understanding abstract ideas.
36,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
36,Openness,OPN9,I spend time reflecting on things.
37,Agreeableness,AGR10,I make people feel at ease.
37,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
37,Agreeableness,AGR7,I am not really interested in others.
37,Agreeableness,AGR8,I take time out for others.
37,Agreeableness,AGR9,I feel others' emotions.
37,Conscientiousness,CSN3,I pay attention to details.
37,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
37,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
37,Conscientiousness,CSN9,I follow a schedule.
37,Neuroticism,EST1,I get stressed out easily.
37,Neuroticism,EST10,I often feel blue.
37,Neuroticism,EST8,I have frequent mood swings.
37,Neuroticism,EST9,I have a low tolerance for irritation.
37,Extraversion,EXT3,I feel comfortable around people.
37,Extraversion,EXT5,I start conversations.
37,Extraversion,EXT7,I talk to a lot of different people at parties.
37,Extraversion,EXT8,I don't like to draw attention to myself.
37,Openness,OPN3,I have a vivid imagination.
37,Openness,OPN4,I am not interested in abstract ideas.
37,Openness,OPN9,I spend time reflecting on things.
38,Agreeableness,AGR10,I make people feel at ease.
38,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
38,Agreeableness,AGR4,I sympathize with others' feelings.
38,Agreeableness,AGR8,I take time out for others.
38,Agreeableness,AGR9,I feel others' emotions.
38,Conscientiousness,CSN3,I pay attention to details.
38,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
38,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
38,Conscientiousness,CSN9,I follow a schedule.
38,Neuroticism,EST2,I am relaxed most of the time.
38,Neuroticism,EST4,I seldom feel blue.
38,Neuroticism,EST8,I have frequent mood swings.
38,Neuroticism,EST9,I have a low tolerance for irritation.
38,Extraversion,EXT10,I am quiet around strangers.
38,Extraversion,EXT3,I feel comfortable around people.
38,Extraversion,EXT5,I start conversations.
38,Extraversion,EXT8,I don't like to draw attention to myself.
38,Openness,OPN1,I have a rich vocabulary.
38,Openness,OPN5,I have excellent ideas.
38,Openness,OPN9,I spend time reflecting on things.
39,Agreeableness,AGR1,I feel little concern for others.
39,Agreeableness,AGR10,I make people feel at ease.
39,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
39,Agreeableness,AGR5,I am not interested in other people's problems.
39,Agreeableness,AGR9,I feel others' emotions.
39,Conscientiousness,CSN1,I am always prepared.
39,Conscientiousness,CSN3,I pay attention to details.
39,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
39,Conscientiousness,CSN7,I like order.
39,Neuroticism,EST1,I get stressed out easily.
39,Neuroticism,EST4,I seldom feel blue.
39,Neuroticism,EST8,I have frequent mood swings.
39,Neuroticism,EST9,I have a low tolerance for irritation.
39,Extraversion,EXT1,I am the life of the party.
39,Extraversion,EXT4,I keep in the background.
39,Extraversion,EXT5,I start conversations.
39,Extraversion,EXT8,I don't like to draw attention to myself.
39,Openness,OPN1,I have a rich vocabulary.
39,Openness,OPN10,I am full of ideas.
39,Openness,OPN9,I spend time reflecting on things.
40,Agreeableness,AGR10,I make people feel at ease.
40,Agreeableness,AGR2,I am interested in people.
40,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
40,Agreeableness,AGR8,I take time out for others.
40,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
40,Conscientiousness,CSN3,I pay attention to details.
40,Conscientiousness,CSN7,I like order.
40,Conscientiousness,CSN9,I follow a schedule.
40,Neuroticism,EST1,I get stressed out easily.
40,Neuroticism,EST4,I seldom feel blue.
40,Neuroticism,EST5,I am easily disturbed.
40,Neuroticism,EST8,I have frequent mood swings.
40,Extraversion,EXT2,I prefer to listen more than I speak.
40,Extraversion,EXT3,I feel comfortable around people.
40,Extraversion,EXT5,I start conversations.
40,Extraversion,EXT8,I don't like to draw attention to myself.
40,Openness,OPN2,I have difficulty understanding abstract ideas.
40,Openness,OPN3,I have a vivid imagination.
40,Openness,OPN7,I am quick to understand things.
40,Openness,OPN9,I spend time reflecting on things.
41,Agreeableness,AGR10,I make people feel at ease.
41,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
41,Agreeableness,AGR7,I am not really interested in others.
41,Agreeableness,AGR8,I take time out for others.
41,Conscientiousness,CSN1,I am always prepared.
41,Conscientiousness,CSN10,I am exacting in my work.
41,Conscientiousness,CSN3,I pay attention to details.
41,Conscientiousness,CSN5,I get chores done right away.
41,Neuroticism,EST10,I often feel blue.
41,Neuroticism,EST3,I worry about things.
41,Neuroticism,EST5,I am easily disturbed.
41,Neuroticism,EST7,I change my mood a lot.
41,Extraversion,EXT3,I feel comfortable around people.
41,Extraversion,EXT5,I start conversations.
41,Extraversion,EXT6,I have little to say.
41,Extraversion,EXT8,I don't like to draw attention to myself.
41,Openness,OPN4,I am not interested in abstract ideas.
41,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
41,Openness,OPN7,I am quick to understand things.
41,Openness,OPN9,I spend time reflecting on things.
42,Agreeableness,AGR10,I make people feel at ease.
42,Agreeableness,AGR2,I am interested in people.
42,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
42,Agreeableness,AGR8,I take time out for others.
42,Conscientiousness,CSN3,I pay attention to details.
42,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
42,Conscientiousness,CSN7,I like order.
42,Conscientiousness,CSN9,I follow a schedule.
42,Neuroticism,EST10,I often feel blue.
42,Neuroticism,EST2,I am relaxed most of the time.
42,Neuroticism,EST7,I change my mood a lot.
42,Neuroticism,EST9,I have a low tolerance for irritation.
42,Extraversion,EXT3,I feel comfortable around people.
42,Extraversion,EXT6,I have little to say.
42,Extraversion,EXT8,I don't like to draw attention to myself.
42,Extraversion,EXT9,I don't mind being the center of attention.
42,Openness,OPN1,I have a rich vocabulary.
42,Openness,OPN5,I have excellent ideas.
42,Openness,OPN7,I am quick to understand things.
42,Openness,OPN9,I spend time reflecting on things.
43,Agreeableness,AGR10,I make people feel at ease.
43,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
43,Agreeableness,AGR5,I am not interested in other people's problems.
43,Agreeableness,AGR8,I take time out for others.
43,Conscientiousness,CSN1,I am always prepared.
43,Conscientiousness,CSN3,I pay attention to details.
43,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
43,Conscientiousness,CSN7,I like order.
43,Neuroticism,EST2,I am relaxed most of the time.
43,Neuroticism,EST4,I seldom feel blue.
43,Neuroticism,EST5,I am easily disturbed.
43,Neuroticism,EST8,I have frequent mood swings.
43,Extraversion,EXT4,I keep in the background.
43,Extraversion,EXT5,I start conversations.
43,Extraversion,EXT6,I have little to say.
43,Extraversion,EXT8,I don't like to draw attention to myself.
43,Openness,OPN4,I am not interested in abstract ideas.
43,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
43,Openness,OPN7,I am quick to understand things.
43,Openness,OPN9,I spend time reflecting on things.
44,Agreeableness,AGR1,I feel little concern for others.
44,Agreeableness,AGR10,I make people feel at ease.
44,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
44,Agreeableness,AGR4,I sympathize with others' feelings.
44,Agreeableness,AGR9,I feel others' emotions.
44,Conscientiousness,CSN1,I am always prepared.
44,Conscientiousness,CSN3,I pay attention to details.
44,Conscientiousness,CSN5,I get chores done right away.
44,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
44,Neuroticism,EST10,I often feel blue.
44,Neuroticism,EST2,I am relaxed most of the time.
44,Neuroticism,EST7,I change my mood a lot.
44,Neuroticism,EST9,I have a low tolerance for irritation.
44,Extraversion,EXT2,I prefer to listen more than I speak.
44,Extraversion,EXT4,I keep in the background.
44,Extraversion,EXT8,I don't like to draw attention to myself.
44,Extraversion,EXT9,I don't mind being the center of attention.
44,Openness,OPN1,I have a rich vocabulary.
44,Openness,OPN10,I am full of ideas.
44,Openness,OPN9,I spend time reflecting on things.
45,Agreeableness,AGR10,I make people feel at ease.
45,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
45,Agreeableness,AGR4,I sympathize with others' feelings.
45,Agreeableness,AGR8,I take time out for others.
45,Agreeableness,AGR9,I feel others' emotions.
45,Conscientiousness,CSN1,I am always prepared.
45,Conscientiousness,CSN3,I pay attention to details.
45,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
45,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
45,Neuroticism,EST4,I seldom feel blue.
45,Neuroticism,EST6,I get upset easily.
45,Neuroticism,EST7,I change my mood a lot.
45,Neuroticism,EST9,I have a low tolerance for irritation.
45,Extraversion,EXT10,I am quiet around strangers.
45,Extraversion,EXT3,I feel comfortable around people.
45,Extraversion,EXT8,I don't like to draw attention to myself.
45,Extraversion,EXT9,I don't mind being the center of attention.
45,Openness,OPN1,I have a rich vocabulary.
45,Openness,OPN3,I have a vivid imagination.
45,Openness,OPN9,I spend time reflecting on things.
46,Agreeableness,AGR10,I make people feel at ease.
46,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
46,Agreeableness,AGR4,I sympathize with others' feelings.
46,Agreeableness,AGR8,I take time out for others.
46,Conscientiousness,CSN1,I am always prepared.
46,Conscientiousness,CSN3,I pay attention to details.
46,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
46,Conscientiousness,CSN7,I like order.
46,Neuroticism,EST1,I get stressed out easily.
46,Neuroticism,EST10,I often feel blue.
46,Neuroticism,EST5,I am easily disturbed.
46,Neuroticism,EST8,I have frequent mood swings.
46,Extraversion,EXT1,I am the life of the party.
46,Extraversion,EXT3,I feel comfortable around people.
46,Extraversion,EXT8,I don't like to draw attention to myself.
46,Extraversion,EXT9,I don't mind being the center of attention.
46,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
46,Openness,OPN7,I am quick to understand things.
46,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
46,Openness,OPN9,I spend time reflecting on things.
47,Agreeableness,AGR1,I feel little concern for others.
47,Agreeableness,AGR10,I make people feel at ease.
47,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
47,Agreeableness,AGR6,I have a soft heart.
47,Conscientiousness,CSN1,I am always prepared.
47,Conscientiousness,CSN10,I am exacting in my work.
47,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
47,Conscientiousness,CSN3,I pay attention to details.
47,Neuroticism,EST4,I seldom feel blue.
47,Neuroticism,EST5,I am easily disturbed.
47,Neuroticism,EST6,I get upset easily.
47,Neuroticism,EST8,I have frequent mood swings.
47,Extraversion,EXT2,I prefer to listen more than I speak.
47,Extraversion,EXT3,I feel comfortable around people.
47,Extraversion,EXT5,I start conversations.
47,Extraversion,EXT8,I don't like to draw attention to myself.
47,Openness,OPN1,I have a rich vocabulary.
47,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
47,Openness,OPN7,I am quick to understand things.
47,Openness,OPN9,I spend time reflecting on things.
48,Agreeableness,AGR10,I make people feel at ease.
48,Agreeableness,AGR2,I am interested in people.
48,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
48,Agreeableness,AGR8,I take time out for others.
48,Agreeableness,AGR9,I feel others' emotions.
48,Conscientiousness,CSN1,I am always prepared.
48,Conscientiousness,CSN3,I pay attention to details.
48,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
48,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
48,Neuroticism,EST1,I get stressed out easily.
48,Neuroticism,EST4,I seldom feel blue.
48,Neuroticism,EST8,I have frequent mood swings.
48,Neuroticism,EST9,I have a low tolerance for irritation.
48,Extraversion,EXT10,I am quiet around strangers.
48,Extraversion,EXT4,I keep in the background.
48,Extraversion,EXT8,I don't like to draw attention to myself.
48,Extraversion,EXT9,I don't mind being the center of attention.
48,Openness,OPN4,I am not interested in abstract ideas.
48,Openness,OPN5,I have excellent ideas.
48,Openness,OPN9,I spend time reflecting on things.
49,Agreeableness,AGR1,I feel little concern for others.
49,Agreeableness,AGR10,I make people feel at ease.
49,Agreeableness,AGR2,I am interested in people.
49,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
49,Agreeableness,AGR9,I feel others' emotions.
49,Conscientiousness,CSN1,I am always prepared.
49,Conscientiousness,CSN10,I am exacting in my work.
49,Conscientiousness,CSN3,I pay attention to details.
49,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
49,Neuroticism,EST10,I often feel blue.
49,Neuroticism,EST2,I am relaxed most of the time.
49,Neuroticism,EST5,I am easily disturbed.
49,Neuroticism,EST8,I have frequent mood swings.
49,Extraversion,EXT10,I am quiet around strangers.
49,Extraversion,EXT3,I feel comfortable around people.
49,Extraversion,EXT5,I start conversations.
49,Extraversion,EXT8,I don't like to draw attention to myself.
49,Openness,OPN3,I have a vivid imagination.
49,Openness,OPN4,I am not interested in abstract ideas.
49,Openness,OPN9,I spend time reflecting on things.
50,Agreeableness,AGR1,I feel little concern for others.
50,Agreeableness,AGR10,I make people feel at ease.
50,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
50,Agreeableness,AGR4,I sympathize with others' feelings.
50,Conscientiousness,CSN1,I am always prepared.
50,Conscientiousness,CSN10,I am exacting in my work.
50,Conscientiousness,CSN3,I pay attention to details.
50,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
50,Neuroticism,EST1,I get stressed out easily.
50,Neuroticism,EST10,I often feel blue.
50,Neuroticism,EST5,I am easily disturbed.
50,Neuroticism,EST7,I change my mood a lot.
50,Extraversion,EXT4,I keep in the background.
50,Extraversion,EXT6,I have little to say.
50,Extraversion,EXT8,I don't like to draw attention to myself.
50,Extraversion,EXT9,I don't mind being the center of attention.
50,Openness,OPN1,I have a rich vocabulary.
50,Openness,OPN10,I am full of ideas.
50,Openness,OPN7,I am quick to understand things.
50,Openness,OPN9,I spend time reflecting on things.
51,Agreeableness,AGR10,I make people feel at ease.
51,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
51,Agreeableness,AGR4,I sympathize with others' feelings.
51,Agreeableness,AGR8,I take time out for others.
51,Agreeableness,AGR9,I feel others' emotions.
51,Conscientiousness,CSN1,I am always prepared.
51,Conscientiousness,CSN10,I am exacting in my work.
51,Conscientiousness,CSN3,I pay attention to details.
51,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
51,Neuroticism,EST1,I get stressed out easily.
51,Neuroticism,EST4,I seldom feel blue.
51,Neuroticism,EST8,I have frequent mood swings.
51,Neuroticism,EST9,I have a low tolerance for irritation.
51,Extraversion,EXT2,I prefer to listen more than I speak.
51,Extraversion,EXT4,I keep in the background.
51,Extraversion,EXT8,I don't like to draw attention to myself.
51,Extraversion,EXT9,I don't mind being the center of attention.
51,Openness,OPN1,I have a rich vocabulary.
51,Openness,OPN5,I have excellent ideas.
51,Openness,OPN9,I spend time reflecting on things.
52,Agreeableness,AGR10,I make people feel at ease.
52,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
52,Agreeableness,AGR5,I am not interested in other people's problems.
52,Agreeableness,AGR8,I take time out for others.
52,Agreeableness,AGR9,I feel others' emotions.
52,Conscientiousness,CSN3,I pay attention to details.
52,Conscientiousness,CSN5,I get chores done right away.
52,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
52,Conscientiousness,CSN9,I follow a schedule.
52,Neuroticism,EST10,I often feel blue.
52,Neuroticism,EST3,I worry about things.
52,Neuroticism,EST7,I change my mood a lot.
52,Neuroticism,EST9,I have a low tolerance for irritation.
52,Extraversion,EXT10,I am quiet around strangers.
52,Extraversion,EXT4,I keep in the background.
52,Extraversion,EXT5,I start conversations.
52,Extraversion,EXT8,I don't like to draw attention to myself.
52,Openness,OPN3,I have a vivid imagination.
52,Openness,OPN4,I am not interested in abstract ideas.
52,Openness,OPN9,I spend time reflecting on things.
53,Agreeableness,AGR10,I make people feel at ease.
53,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
53,Agreeableness,AGR4,I sympathize with others' feelings.
53,Agreeableness,AGR8,I take time out for others.
53,Agreeableness,AGR9,I feel others' emotions.
53,Conscientiousness,CSN1,I am always prepared.
53,Conscientiousness,CSN3,I pay attention to details.
53,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
53,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
53,Neuroticism,EST4,I seldom feel blue.
53,Neuroticism,EST6,I get upset easily.
53,Neuroticism,EST8,I have frequent mood swings.
53,Neuroticism,EST9,I have a low tolerance for irritation.
53,Extraversion,EXT1,I am the life of the party.
53,Extraversion,EXT3,I feel comfortable around people.
53,Extraversion,EXT8,I don't like to draw attention to myself.
53,Extraversion,EXT9,I don't mind being the center of attention.
53,Openness,OPN1,I have a rich vocabulary.
53,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
53,Openness,OPN9,I spend time reflecting on things.
54,Agreeableness,AGR1,I feel little concern for others.
54,Agreeableness,AGR10,I make people feel at ease.
54,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
54,Agreeableness,AGR6,I have a soft heart.
54,Conscientiousness,CSN1,I am always prepared.
54,Conscientiousness,CSN3,I pay attention to details.
54,Conscientiousness,CSN5,I get chores done right away.
54,Conscientiousness,CSN7,I like order.
54,Neuroticism,EST2,I am relaxed most of the time.
54,Neuroticism,EST4,I seldom feel blue.
54,Neuroticism,EST5,I am easily disturbed.
54,Neuroticism,EST7,I change my mood a lot.
54,Extraversion,EXT3,I feel comfortable around people.
54,Extraversion,EXT7,I talk to a lot of different people at parties.
54,Extraversion,EXT8,I don't like to draw attention to myself.
54,Extraversion,EXT9,I don't mind being the center of attention.
54,Openness,OPN10,I am full of ideas.
54,Openness,OPN4,I am not interested in abstract ideas.
54,Openness,OPN7,I am quick to understand things.
54,Openness,OPN9,I spend time reflecting on things.
55,Agreeableness,AGR10,I make people feel at ease.
55,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
55,Agreeableness,AGR6,I have a soft heart.
55,Agreeableness,AGR8,I take time out for others.
55,Conscientiousness,CSN1,I am always prepared.
55,Conscientiousness,CSN10,I am exacting in my work.
55,Conscientiousness,CSN3,I pay attention to details.
55,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
55,Neuroticism,EST4,I seldom feel blue.
55,Neuroticism,EST6,I get upset easily.
55,Neuroticism,EST8,I have frequent mood swings.
55,Neuroticism,EST9,I have a low tolerance for irritation.
55,Extraversion,EXT3,I feel comfortable around people.
55,Extraversion,EXT6,I have little to say.
55,Extraversion,EXT8,I don't like to draw attention to myself.
55,Extraversion,EXT9,I don't mind being the center of attention.
55,Openness,OPN2,I have difficulty understanding abstract ideas.
55,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
55,Openness,OPN7,I am quick to understand things.
55,Openness,OPN9,I spend time reflecting on things.
56,Agreeableness,AGR1,I feel little concern for others.
56,Agreeableness,AGR10,I make people feel at ease.
56,Agreeableness,AGR2,I am interested in people.
56,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
56,Conscientiousness,CSN3,I pay attention to details.
56,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
56,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
56,Conscientiousness,CSN9,I follow a schedule.
56,Neuroticism,EST4,I seldom feel blue.
56,Neuroticism,EST5,I am easily disturbed.
56,Neuroticism,EST6,I get upset easily.
56,Neuroticism,EST8,I have frequent mood swings.
56,Extraversion,EXT1,I am the life of the party.
